date,rank,song_title,artist,genres
2021-05-01,1.0,Rapstar,Polo G,"['chicago rap', 'rap']"
,,Leave The Door Open,Silk Sonic (Bruno Mars,[]
2021-05-01,3.0,Peaches,Justin Bieber,"['canadian pop', 'pop']"
2021-05-01,4.0,Montero (Call Me By Your Name),Lil Nas,['lgbtq+ hip hop']
2021-05-01,5.0,Levitating,Dua Lipa,"['dance pop', 'pop', 'uk pop']"
2021-05-01,6.0,Save Your Tears,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']"
2021-05-01,7.0,Astronaut In The Ocean,Masked Wolf,['australian hip hop']
2021-05-01,8.0,Kiss Me More,Doja Cat,"['dance pop', 'pop']"
2021-05-01,9.0,Up,Cardi B,"['pop', 'rap']"
2021-05-01,10.0,Drivers License,Olivia Rodrigo,['pop']
2021-05-01,11.0,Deja Vu,Olivia Rodrigo,['pop']
2021-05-01,12.0,Solid,Young Thug,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']"
2021-05-01,13.0,Blinding Lights,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']"
2021-05-01,14.0,Beat Box,SpotemGottem,"['florida drill', 'florida rap']"
2021-05-01,15.0,Best Friend,Saweetie,"['cali rap', 'trap queen']"
2021-05-01,16.0,Calling My Phone,Lil Tjay,"['brooklyn drill', 'melodic rap', 'nyc rap', 'rap']"
2021-05-01,17.0,What You Know Bout Love,Pop Smoke,"['brooklyn drill', 'rap']"
2021-05-01,18.0,Ski,Young Thug,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']"
2021-05-01,19.0,Mood,24kGoldn,"['cali rap', 'pop rap']"
2021-05-01,20.0,Heartbreak Anniversary,Giveon,['r&b']
2021-05-01,21.0,The Good Ones,Gabby Barrett,['contemporary country']
2021-05-01,22.0,Beautiful Mistakes,Maroon 5,['pop']
2021-05-01,23.0,Back In Blood,Pooh Shiesty,"['memphis hip hop', 'southern hip hop', 'tennessee hip hop', 'trap']"
2021-05-01,24.0,Go Crazy,Chris Brown,"['r&b', 'rap']"
2021-05-01,25.0,You Broke Me First.,Tate McRae,['pop']
2021-05-01,26.0,34+35,Ariana Grande,['pop']
,,My Ex's Best Friend,Machine Gun Kelly,[]
2021-05-01,28.0,What's Next,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
2021-05-01,29.0,Dakiti,Bad Bunny,"['reggaeton', 'trap latino', 'urbano latino']"
2021-05-01,30.0,Therefore I Am,Billie Eilish,"['art pop', 'pop']"
2021-05-01,31.0,Without You,The Kid LAROI,['australian hip hop']
2021-05-01,32.0,On Me,Lil Baby,"['atl hip hop', 'atl trap', 'rap', 'trap']"
2021-05-01,33.0,Positions,Ariana Grande,['pop']
2021-05-01,34.0,You're Mines Still,Yung Bleu,"['alabama rap', 'trap']"
2021-05-01,35.0,Forever After All,Luke Combs,"['contemporary country', 'country']"
2021-05-01,36.0,Wants And Needs,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
2021-05-01,37.0,Track Star,Mooski,['alabama rap']
2021-05-01,38.0,We're Good,Dua Lipa,"['dance pop', 'pop', 'uk pop']"
2021-05-01,39.0,Heat Waves,Glass Animals,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']"
2021-05-01,40.0,For The Night,Pop Smoke,"['brooklyn drill', 'rap']"
2021-05-01,41.0,Hell Of A View,Eric Church,"['contemporary country', 'country', 'country road']"
2021-05-01,42.0,Made For You,Jake Owen,"['contemporary country', 'country', 'country road', 'modern country rock']"
2021-05-01,43.0,No More Parties,Coi Leray,"['new jersey underground rap', 'trap queen']"
2021-05-01,44.0,Good Days,SZA,"['pop', 'r&b', 'rap']"
2021-05-01,45.0,Starting Over,Chris Stapleton,"['contemporary country', 'outlaw country']"
2021-05-01,46.0,Diamonds Dancing,Young Thug,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']"
2021-05-01,47.0,Goosebumps,Travis Scott,"['hip hop', 'rap', 'slap house']"
2021-05-01,48.0,Tombstone,Rod Wave,['florida rap']
2021-05-01,49.0,Breaking Up Was Easy In The 90's,Sam Hunt,"['contemporary country', 'country', 'country pop', 'modern country rock']"
2021-05-01,50.0,Somebody Like That,Tenille Arts,"['canadian contemporary country', 'contemporary country', 'country pop']"
2021-05-01,51.0,Streets,Doja Cat,"['dance pop', 'pop']"
2021-05-01,52.0,What's Your Country Song,Thomas Rhett,"['contemporary country', 'country', 'country road', 'modern country rock']"
2021-05-01,53.0,Time Today,Moneybagg Yo,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']"
2021-05-01,54.0,Telepatia,Kali Uchis,['colombian pop']
2021-05-01,55.0,Cry Baby,Megan Thee Stallion,"['houston rap', 'pop', 'r&b', 'rap', 'trap queen']"
2021-05-01,56.0,Hold On,Justin Bieber,"['canadian pop', 'pop']"
2021-05-01,57.0,Street Runner,Rod Wave,['florida rap']
2021-05-01,58.0,Just The Way,Parmalee,"['contemporary country', 'country road', 'modern country rock', 'modern uplift']"
2021-05-01,59.0,Proud Of You,Young Thug,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']"
2021-05-01,60.0,Willow,Taylor Swift,['pop']
2021-05-01,61.0,Damage,H.E.R.,"['r&b', 'rap']"
2021-05-01,62.0,Richer,Rod Wave,['florida rap']
2021-05-01,63.0,Glad You Exist,Dan + Shay,"['contemporary country', 'country', 'country road']"
2021-05-01,64.0,La Noche de Anoche,Bad Bunny,"['reggaeton', 'trap latino', 'urbano latino']"
2021-05-01,65.0,Settling Down,Miranda Lambert,"['contemporary country', 'country', 'country dawn', 'country road']"
2021-05-01,66.0,Came And Saw,Young Thug,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']"
2021-05-01,67.0,Headshot,"Lil Tjay, Polo G","['brooklyn drill', 'melodic rap', 'nyc rap', 'rap']"
2021-05-01,68.0,Anyone,Justin Bieber,"['canadian pop', 'pop']"
2021-05-01,69.0,Down To One,Luke Bryan,"['contemporary country', 'country', 'country road', 'modern country rock']"
2021-05-01,70.0,Lady,Brett Young,"['contemporary country', 'country', 'country road', 'modern country rock']"
2021-05-01,71.0,Quicksand,Morray,['pop rap']
,,One Too Many,Keith Urban Duet With P!nk,[]
2021-05-01,73.0,Famous Friends,Chris Young + Kane Brown,"['contemporary country', 'country', 'country road']"
2021-05-01,74.0,Gone,Dierks Bentley,"['contemporary country', 'country', 'country road', 'modern country rock']"
2021-05-01,75.0,My Head And My Heart,Ava Ma,['pop']
2021-05-01,76.0,Almost Maybes,Jordan Davis,['contemporary country']
2021-05-01,77.0,Paid The Fine,Young Thug,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']"
2021-05-01,78.0,The Business,Tiesto,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'slap house', 'trance']"
2021-05-01,79.0,Drunk (And I Don't Wanna Go Home),Elle King,['modern blues rock']
2021-05-01,80.0,Masterpiece,DaBaby,"['hip hop', 'north carolina hip hop', 'pop rap', 'rap', 'trap']"
2021-05-01,81.0,pov,Ariana Grande,['pop']
